Movimiento,Fecha Emisión,Cliente,Nombre,Nombre Sucursal,Almacén,Dirección,Observaciones,Delegación,Colonia,Código Postal,Población,Estado,Dirección Completa,Direccion actualizada,Latitud,Longitud,LatLong,Peso,Importe Total,Saldo,Referencia,Observaciones Horarios y/o citas,Ruta,Agente
Pedido 444074,8/4/2026,A00576,TIENDAS LORES,TIENDAS LORES (TIERRA BLANCA),CISAALMA,5 DE MAYO No 806,CENTRO - TIERRA BLANCA,Tierra Blanca,Tierra Blanca Centro,95100,Tierra Blanca,Veracruz,"5 DE MAYO No 806,Tierra Blanca,Tierra Blanca Centro,Tierra Blanca,Veracruz,95100","5 DE MAYO No 806,Tierra Blanca,Tierra Blanca Centro,Tierra Blanca,Veracruz,95100, Veracruz, 95100, MX",18.44821,-96.35867,"18.44821,-96.35867",4479.1,99096,1000,,,,101
Pedido 444081,8/4/2026,A00577,TIENDAS LORES,TIENDAS LORES (VERACRUZ),CISAALMA,AV DIAZ MIRON 277,CENTRO - VERACRUZ,Veracruz,Veracruz Centro,91700,Veracruz,Veracruz,"AV DIAZ MIRON 277,Veracruz,Veracruz Centro,Veracruz,Veracruz,91700","AV DIAZ MIRON 277,Veracruz,Veracruz Centro,Veracruz,Veracruz,91700, Veracruz, 91700, MX",19.19157,-96.13534,"19.19157,-96.13534",600.4,14230,500,,,VERACRUZ PUERTO,101
Pedido 444061,8/4/2026,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),CISAALMA,CARR FED FORTIN-HUATUSCO 1617,RICARDO BALLINAS-FORTIN,Fortín,Ricardo Ballinas,94472,Fortín de las Flores,Veracruz,"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472","CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472, Veracruz, 94472, MX",18.90531,-96.99885,"18.90531,-96.99885",111,2365,2365,*DONATIVO- FUNDC ROMA.,,CORDOBA,101
Pedido 444089,8/4/2026,A01123,TIENDAS LORES,TIENDAS LORES (LERDO DE TEJADA),CISAALMA,CALLE REVOLUCION NORTE S/N ENTRE NICOLAS BRAVO Y J DE LA LUZ ENRIQUEZ,CENTRO - LERDO DE TEJEDA,Lerdo de Tejada,Lerdo de Tejada Centro,95280,Lerdo de Tejada,Veracruz,"CALLE REVOLUCION NORTE S/N ENTRE NICOLAS BRAVO Y J DE LA LUZ ENRIQUEZ,Lerdo de Tejada,Lerdo de Tejada Centro,Lerdo de Tejada,Veracruz,95280","CALLE REVOLUCION NORTE S/N ENTRE NICOLAS BRAVO Y J DE LA LUZ ENRIQUEZ,Lerdo de Tejada,Lerdo de Tejada Centro,Lerdo de Tejada,Veracruz,95280, Veracruz, 95280, MX",18.63174,-95.5204,"18.63174,-95.5204",2429.78,"54793,4",1242,,,LOS TUXTLAS,101
Pedido 444092,8/4/2026,A01637,TIENDAS LORES,TIENDAS LORES (VALLE NACIONAL),CISAALMA,CALLE JOSE MARIA MORELOS No 37,CENTRO - VALLE NACIONAL,San Juan Bautista Valle Nacional,Playa Del Rio,68480,San Juan Bautista Valle Nacional,Oaxaca,"CALLE JOSE MARIA MORELOS No 37,San Juan Bautista Valle Nacional,Playa Del Rio,San Juan Bautista Valle Nacional,Oaxaca,68480","CALLE JOSE MARIA MORELOS No 37,San Juan Bautista Valle Nacional,Playa Del Rio,San Juan Bautista Valle Nacional,Oaxaca,68480, Oaxaca, 68480, MX",17.77459,-96.30749,"17.77459,-96.30749",3401.5,73082,686,,,TUXTEPEC,101
Pedido 444093,8/4/2026,A01767,TIENDAS LORES,TIENDAS LORES (VICENTE CAMALOTE),CISAALMA,CALLE 11 S/N ENTRE IGNACIO DE LA LLAVE Y BENITO JUAREZ,CENTRO - ACATLAN DE PEREZ FIGUEROA,Acatlán de Pérez Figueroa,Benito Juárez,68422,Vicente Camalote,Oaxaca,"CALLE 11 S/N ENTRE IGNACIO DE LA LLAVE Y BENITO JUAREZ,Acatlán de Pérez Figueroa,Benito Juárez,Vicente Camalote,Oaxaca,68422","CALLE 11 S/N ENTRE IGNACIO DE LA LLAVE Y BENITO JUAREZ,Acatlán de Pérez Figueroa,Benito Juárez,Vicente Camalote,Oaxaca,68422, Oaxaca, 68422, MX",18.51107,-96.53636,"18.51107,-96.53636",1765.28,"40219,8",1000,,,TEZONAPA,101
Pedido 444193,8/4/2026,A01819,GENERAL DE MUEBLES PAPANTLA,GENERAL DE MUEBLES PAPANTLA,CISAALMA,CALLE FANCISCO SAUSA MINA No 101,BARRIO DEL NARANJO - PAPANTLA,Papantla,Papantla Centro,93400,Papantla de Olarte,Veracruz,"CALLE FANCISCO SAUSA MINA No 101,Papantla,Papantla Centro,Papantla de Olarte,Veracruz,93400","CALLE FANCISCO SAUSA MINA No 101,Papantla,Papantla Centro,Papantla de Olarte,Veracruz,93400, Veracruz, 93400, MX",20.44557,-97.32013,"20.44557,-97.32013",3757.6,75325,75325,,5.00 AM,VERACRUZ NORTE,172
Pedido 444095,8/4/2026,A01835,TIENDAS LORES,TIENDAS LORES (ANGEL R. CABADA),CISAALMA,AV FRANCISCO J MORENO No 30,CENTRO - ANGEL R. CABADA,Angel R. Cabada,Angel R. Cabada,95840,Ángel R. Cabada,Veracruz,"AV FRANCISCO J MORENO No 30,Angel R. Cabada,Angel R. Cabada,Ángel R. Cabada,Veracruz,95840","AV FRANCISCO J MORENO No 30,Angel R. Cabada,Angel R. Cabada,Ángel R. Cabada,Veracruz,95840, Veracruz, 95840, MX",18.59667,-95.44696,"18.59667,-95.44696",3863.46,"87795,8",1428,,,LOS TUXTLAS,101
Pedido 444094,8/4/2026,A01836,TIENDAS LORES,TIENDAS LORES (ALVARADO),CISAALMA,IGNACIO DE LA LLAVE No 35,CENTRO - ALVARADO,Alvarado,Rincón de la Palma,95250,,Veracruz,"IGNACIO DE LA LLAVE No 35,Alvarado,Rincón de la Palma,,Veracruz,95250","IGNACIO DE LA LLAVE No 35,Alvarado,Rincón de la Palma,,Veracruz,95250, Veracruz, 95250, MX",18.82272,-95.95639,"18.82272,-95.95639",3716.68,"81236,4",1000,,,,101
Pedido 444097,8/4/2026,A01895,TIENDAS LORES,TIENDAS LORES (TIERRA BLANCA 2),CISAALMA,CALLE PROLONGACION AQUILES SERDAN No 300 ENTRE OBRERO MUNDIAL Y MARTIRES DE CHIGACO,OBRERA - TIERRA BLANCA,Tierra Blanca,Obrera,95190,Tierra Blanca,Veracruz,"CALLE PROLONGACION AQUILES SERDAN No 300 ENTRE OBRERO MUNDIAL Y MARTIRES DE CHIGACO,Tierra Blanca,Obrera,Tierra Blanca,Veracruz,95190","CALLE PROLONGACION AQUILES SERDAN No 300 ENTRE OBRERO MUNDIAL Y MARTIRES DE CHIGACO,Tierra Blanca,Obrera,Tierra Blanca,Veracruz,95190, Veracruz, 95190, MX",18.45259,-96.35057,"18.45259,-96.35057",1562.96,"36132,8",372,,,,101
